Category,State/ UT Name,Year,Vegetable,Area,Production
Union Territory,Dadra & Nagar Haveli,2011-12,Brinjal,0.5,3.5
Union Territory,Chandigarh,2011-12,Brinjal,0,0
Union Territory,D. & N. Haveli,2011-12,Brinjal,0.5,2.2
Union Territory,Daman & Diu,2011-12,Brinjal,0,0
Union Territory,Delhi,2011-12,Brinjal,1.4,26.3
Union Territory,Lakshadweep,2011-12,Brinjal,0,0
Union Territory,Puducherry,2011-12,Brinjal,0.1,0.8
Total,Total,2011-12,Brinjal,691.6,12634.1
State,Andhra Pradesh,2012-13,Brinjal,80.8,1615.3
State,Arunachal Pradesh,2012-13,Brinjal,0,0
State,Assam,2012-13,Brinjal,16.8,267.9
State,Bihar,2012-13,Brinjal,56.2,1291.5
State,Chhattisgarh,2012-13,Brinjal,31.2,545.7
State,Goa,2012-13,Brinjal,0,0
State,Gujarat,2012-13,Brinjal,76.8,1341.1
State,Haryana,2012-13,Brinjal,18.3,302.9
State,Himachal Pradesh,2012-13,Brinjal,1.1,23.5
State,Jammu & Kashmir,2012-13,Brinjal,2,45.2
State,Jharkhand,2012-13,Brinjal,24.2,297.1
State,Karnataka,2012-13,Brinjal,16.1,421.4
State,Kerala,2012-13,Brinjal,0,0
State,Madhya Pradesh,2012-13,Brinjal,40.7,1016
State,Maharashtra,2012-13,Brinjal,26,578
State,Manipur,2012-13,Brinjal,0,0
State,Meghalaya,2012-13,Brinjal,1,13.1
State,Mizoram,2012-13,Brinjal,2.2,15.6
State,Nagaland,2012-13,Brinjal,0.3,3
State,Odisha,2012-13,Brinjal,130.1,2193.7
State,Punjab,2012-13,Brinjal,3.8,81.3
State,Rajasthan,2012-13,Brinjal,5.6,28.4
State,Sikkim,2012-13,Brinjal,0.3,1.7
State,Tamil Nadu,2012-13,Brinjal,10.3,114.7
State,Telangana,2012-13,Brinjal,0,0
State,Tripura,2012-13,Brinjal,3.5,52.4
State,Uttarakhand,2012-13,Brinjal,2.3,27.1
State,Uttar Pradesh,2012-13,Brinjal,3.1,106.4
State,West Bengal,2012-13,Brinjal,161,2965.5
Union Territory,Union Territory (Total),2012-13,Brinjal,0,0
Union Territory,Dadra & Nagar Haveli,2012-13,Brinjal,0.5,3.6
Union Territory,Chandigarh,2012-13,Brinjal,0,0
Union Territory,D. & N. Haveli,2012-13,Brinjal,0.5,2.2
Union Territory,Daman & Diu,2012-13,Brinjal,0,0
Union Territory,Delhi,2012-13,Brinjal,1.3,22.1
Union Territory,Lakshadweep,2012-13,Brinjal,0,0
Union Territory,Puducherry,2012-13,Brinjal,0.2,3.3
Total,Total,2012-13,Brinjal,722.1,13443.6
State,Andhra Pradesh,2013-14,Brinjal,58,1160.5
State,Arunachal Pradesh,2013-14,Brinjal,0,0
State,Assam,2013-14,Brinjal,17,270.7
State,Bihar,2013-14,Brinjal,57.5,1240.5
State,Chhattisgarh,2013-14,Brinjal,33.1,586
State,Goa,2013-14,Brinjal,0,0
State,Gujarat,2013-14,Brinjal,76,1477
State,Haryana,2013-14,Brinjal,19,400.8
State,Himachal Pradesh,2013-14,Brinjal,1.2,26.7
State,Jammu & Kashmir,2013-14,Brinjal,2,45.2
State,Jharkhand,2013-14,Brinjal,21.2,272.5
State,Karnataka,2013-14,Brinjal,15.8,402.5
State,Kerala,2013-14,Brinjal,0,0
State,Madhya Pradesh,2013-14,Brinjal,42.7,1066.7
State,Maharashtra,2013-14,Brinjal,30,690
State,Manipur,2013-14,Brinjal,0,0
State,Meghalaya,2013-14,Brinjal,1,13.4
State,Mizoram,2013-14,Brinjal,2.3,16
State,Nagaland,2013-14,Brinjal,0.4,3.3
State,Odisha,2013-14,Brinjal,125.2,2158.3
State,Punjab,2013-14,Brinjal,3.9,82
State,Rajasthan,2013-14,Brinjal,5.5,23.2
State,Sikkim,2013-14,Brinjal,0.3,1.7
State,Tamil Nadu,2013-14,Brinjal,10.9,126.2
State,Telangana,2013-14,Brinjal,15.1,302.3
State,Tripura,2013-14,Brinjal,3.5,53.6
State,Uttarakhand,2013-14,Brinjal,2.4,25.6
State,Uttar Pradesh,2013-14,Brinjal,3.4,111.7
State,West Bengal,2013-14,Brinjal,161.5,2977
Union Territory,Union Territory (Total),2013-14,Brinjal,0,0
Union Territory,Dadra & Nagar Haveli,2013-14,Brinjal,0.6,3.3
Union Territory,Chandigarh,2013-14,Brinjal,0,0
Union Territory,D. & N. Haveli,2013-14,Brinjal,0.5,2.2
Union Territory,Daman & Diu,2013-14,Brinjal,0,0
Union Territory,Delhi,2013-14,Brinjal,1.1,16.9
Union Territory,Lakshadweep,2013-14,Brinjal,0,0
Union Territory,Puducherry,2013-14,Brinjal,0.2,2.1
Total,Total,2013-14,Brinjal,711.3,13557.8
State,Andhra Pradesh,2014-15,Brinjal,17.2,381
State,Arunachal Pradesh,2014-15,Brinjal,0,0
State,Assam,2014-15,Brinjal,17.3,286.4
State,Bihar,2014-15,Brinjal,57.6,1141.6
State,Chhattisgarh,2014-15,Brinjal,33.4,606.7
State,Goa,2014-15,Brinjal,0,0
State,Gujarat,2014-15,Brinjal,76,1477
State,Haryana,2014-15,Brinjal,18.5,296
State,Himachal Pradesh,2014-15,Brinjal,1.1,23.5
State,Jammu & Kashmir,2014-15,Brinjal,2,45.2
State,Jharkhand,2014-15,Brinjal,21.4,275.2
State,Karnataka,2014-15,Brinjal,16.5,427.2
State,Kerala,2014-15,Brinjal,1.1,10.6
State,Madhya Pradesh,2014-15,Brinjal,46.1,1154
State,Maharashtra,2014-15,Brinjal,27.1,546.8
State,Manipur,2014-15,Brinjal,0,0
State,Meghalaya,2014-15,Brinjal,1,13.8
State,Mizoram,2014-15,Brinjal,2.1,17.1
State,Nagaland,2014-15,Brinjal,0.4,3.3
State,Odisha,2014-15,Brinjal,122.7,2103.3
State,Punjab,2014-15,Brinjal,3.9,82.8
State,Rajasthan,2014-15,Brinjal,6.5,21.2
State,Sikkim,2014-15,Brinjal,0.3,1.6
State,Tamil Nadu,2014-15,Brinjal,16.2,145.4
State,Telangana,2014-15,Brinjal,15,137.8
State,Tripura,2014-15,Brinjal,3.7,56.2
State,Uttarakhand,2014-15,Brinjal,3.6,22.7
State,Uttar Pradesh,2014-15,Brinjal,4.5,151.9
State,West Bengal,2014-15,Brinjal,161.9,2985.4
Union Territory,Union Territory (Total),2014-15,Brinjal,0,0
Union Territory,Dadra & Nagar Haveli,2014-15,Brinjal,0.6,4.7
Union Territory,Chandigarh,2014-15,Brinjal,0,0
Union Territory,D. & N. Haveli,2014-15,Brinjal,0.5,2.2
Union Territory,Daman & Diu,2014-15,Brinjal,0,0
Union Territory,Delhi,2014-15,Brinjal,0.9,15.3
Union Territory,Lakshadweep,2014-15,Brinjal,0,0
Union Territory,Puducherry,2014-15,Brinjal,0.1,2.7
Total,Total,2014-15,Brinjal,679.4,12438.7
State,Andhra Pradesh,2009-10,Cabbage,9.1,136.1
State,Arunachal Pradesh,2009-10,Cabbage,0,0
State,Assam,2009-10,Cabbage,29.8,614.2
State,Bihar,2009-10,Cabbage,38.7,689.9
State,Chhattisgarh,2009-10,Cabbage,13.7,227.8
State,Goa,2009-10,Cabbage,0,0
State,Gujarat,2009-10,Cabbage,25.6,473.8
State,Haryana,2009-10,Cabbage,12.2,218.3
State,Himachal Pradesh,2009-10,Cabbage,4.6,144.7
State,Jammu & Kashmir,2009-10,Cabbage,2.9,66.7
State,Jharkhand,2009-10,Cabbage,26.8,429.3
State,Karnataka,2009-10,Cabbage,8.9,176.2
State,Kerala,2009-10,Cabbage,0,0
State,Madhya Pradesh,2009-10,Cabbage,7.9,157.3
State,Maharashtra,2009-10,Cabbage,17,442
State,Manipur,2009-10,Cabbage,5.6,72.8
State,Meghalaya,2009-10,Cabbage,0,0
State,Mizoram,2009-10,Cabbage,2.4,44.4
State,Nagaland,2009-10,Cabbage,0.3,3
State,Odisha,2009-10,Cabbage,35.8,999.9
State,Punjab,2009-10,Cabbage,4.3,97.1
State,Rajasthan,2009-10,Cabbage,0,0
State,Sikkim,2009-10,Cabbage,1.2,7
State,Tamil Nadu,2009-10,Cabbage,1.3,72.8
State,Telangana,2009-10,Cabbage,0,0
State,Tripura,2009-10,Cabbage,1.9,42.6
State,Uttarakhand,2009-10,Cabbage,5.5,68.1
State,Uttar Pradesh,2009-10,Cabbage,1.3,38.7
State,West Bengal,2009-10,Cabbage,74.3,2059
Union Territory,Union Territory (Total),2009-10,Cabbage,1.3,38.7
Union Territory,Dadra & Nagar Haveli,2009-10,Cabbage,0,0
Union Territory,Chandigarh,2009-10,Cabbage,0,0
Union Territory,D. & N. Haveli,2009-10,Cabbage,0,0
Union Territory,Daman & Diu,2009-10,Cabbage,0,0
Union Territory,Delhi,2009-10,Cabbage,0,0
Union Territory,Lakshadweep,2009-10,Cabbage,0,0
Union Territory,Puducherry,2009-10,Cabbage,0,0
Total,Total,2009-10,Cabbage,332.4,7320.4
State,Andhra Pradesh,2010-2011,Cabbage,0,0
State,Arunachal Pradesh,2010-2011,Cabbage,0,0
State,Assam,2010-2011,Cabbage,0,0
State,Bihar,2010-2011,Cabbage,0,0
State,Chhattisgarh,2010-2011,Cabbage,14.7,257.7
State,Goa,2010-2011,Cabbage,0,0
State,Gujarat,2010-2011,Cabbage,28.2,553.6
State,Haryana,2010-2011,Cabbage,13.8,262.4
State,Himachal Pradesh,2010-2011,Cabbage,4.5,144.2
State,Jammu & Kashmir,2010-2011,Cabbage,3.5,95.5
State,Jharkhand,2010-2011,Cabbage,27,451.7
State,Karnataka,2010-2011,Cabbage,9.4,187.2
State,Kerala,2010-2011,Cabbage,0,0
State,Madhya Pradesh,2010-2011,Cabbage,9,179.5
State,Maharashtra,2010-2011,Cabbage,18,360
State,Manipur,2010-2011,Cabbage,5.8,74.7
State,Meghalaya,2010-2011,Cabbage,0,0
State,Mizoram,2010-2011,Cabbage,2.6,33.6
State,Nagaland,2010-2011,Cabbage,0.3,3
State,Odisha,2010-2011,Cabbage,41.2,1152.1
State,Punjab,2010-2011,Cabbage,4.4,76.8
State,Rajasthan,2010-2011,Cabbage,1,8.5
State,Sikkim,2010-2011,Cabbage,1.2,6.9
State,Tamil Nadu,2010-2011,Cabbage,1.4,78.6
State,Telangana,2010-2011,Cabbage,0,0
State,Tripura,2010-2011,Cabbage,1.9,45.6
State,Uttarakhand,2010-2011,Cabbage,5.6,70.5
State,Uttar Pradesh,2010-2011,Cabbage,1.6,49.5
State,West Bengal,2010-2011,Cabbage,75.3,2087.8
Union Territory,Union Territory (Total),2010-2011,Cabbage,1.6,49.5
Union Territory,Dadra & Nagar Haveli,2010-2011,Cabbage,0,0
Union Territory,Chandigarh,2010-2011,Cabbage,0,0
Union Territory,D. & N. Haveli,2010-2011,Cabbage,0,0
Union Territory,Daman & Diu,2010-2011,Cabbage,0,0
Union Territory,Delhi,2010-2011,Cabbage,0,0
Union Territory,Lakshadweep,2010-2011,Cabbage,0,0
Union Territory,Puducherry,2010-2011,Cabbage,0,0
Total,Total,2010-2011,Cabbage,368.8,7948.9
State,Andhra Pradesh,2011-12,Cabbage,28.9,433.9
State,Arunachal Pradesh,2011-12,Cabbage,0,0
State,Assam,2011-12,Cabbage,31,641.5
State,Bihar,2011-12,Cabbage,39.6,735
State,Chhattisgarh,2011-12,Cabbage,15.5,282
State,Goa,2011-12,Cabbage,0,0
State,Gujarat,2011-12,Cabbage,28.2,560.7
State,Haryana,2011-12,Cabbage,14.1,269.8
State,Himachal Pradesh,2011-12,Cabbage,4.6,148.9
State,Jammu & Kashmir,2011-12,Cabbage,2.5,73.2
State,Jharkhand,2011-12,Cabbage,28.9,477.1
State,Karnataka,2011-12,Cabbage,9.7,194.7
State,Kerala,2011-12,Cabbage,0,0
State,Madhya Pradesh,2011-12,Cabbage,19,376.3
State,Maharashtra,2011-12,Cabbage,19,383
State,Manipur,2011-12,Cabbage,5.8,58.6
State,Meghalaya,2011-12,Cabbage,1.8,37.5
State,Mizoram,2011-12,Cabbage,2.8,37.1
State,Nagaland,2011-12,Cabbage,1.1,9
State,Odisha,2011-12,Cabbage,41.5,1162.2
State,Punjab,2011-12,Cabbage,4.5,79.1
State,Rajasthan,2011-12,Cabbage,1.3,6.8
State,Sikkim,2011-12,Cabbage,1.2,7.1
State,Tamil Nadu,2011-12,Cabbage,1.5,84.9
State,Telangana,2011-12,Cabbage,0,0
State,Tripura,2011-12,Cabbage,2.6,67.2
State,Uttarakhand,2011-12,Cabbage,5.8,72.7
State,Uttar Pradesh,2011-12,Cabbage,2,62.6
State,West Bengal,2011-12,Cabbage,76.8,2149.9
Union Territory,Union Territory (Total),2011-12,Cabbage,2,62.6
Union Territory,Dadra & Nagar Haveli,2011-12,Cabbage,0.2,1.4
Union Territory,Chandigarh,2011-12,Cabbage,0,0
Union Territory,D. & N. Haveli,2011-12,Cabbage,0,0
Union Territory,Daman & Diu,2011-12,Cabbage,0,0
Union Territory,Delhi,2011-12,Cabbage,0,0
Union Territory,Lakshadweep,2011-12,Cabbage,0,0
Union Territory,Puducherry,2011-12,Cabbage,0,0
Total,Total,2011-12,Cabbage,391.6,8412.1
State,Andhra Pradesh,2012-13,Cabbage,5.4,81.5
State,Arunachal Pradesh,2012-13,Cabbage,0.5,11.6
State,Assam,2012-13,Cabbage,31.6,652.7
State,Bihar,2012-13,Cabbage,39.7,778.6
State,Chhattisgarh,2012-13,Cabbage,16.6,295.5
State,Goa,2012-13,Cabbage,0,0
State,Gujarat,2012-13,Cabbage,30.9,663.5
State,Haryana,2012-13,Cabbage,14.8,270.4
State,Himachal Pradesh,2012-13,Cabbage,4.4,149.7
State,Jammu & Kashmir,2012-13,Cabbage,2.5,73.2
State,Jharkhand,2012-13,Cabbage,31.1,480.2
State,Karnataka,2012-13,Cabbage,9.6,209.9
State,Kerala,2012-13,Cabbage,0,0
State,Madhya Pradesh,2012-13,Cabbage,19.3,567
State,Maharashtra,2012-13,Cabbage,20,421
State,Manipur,2012-13,Cabbage,0,0
State,Meghalaya,2012-13,Cabbage,1.8,38.1
State,Mizoram,2012-13,Cabbage,3,40.1
State,Nagaland,2012-13,Cabbage,2,20
State,Odisha,2012-13,Cabbage,41,1148.2
State,Punjab,2012-13,Cabbage,4.9,86.7
State,Rajasthan,2012-13,Cabbage,1.2,5.7
State,Sikkim,2012-13,Cabbage,1.2,7.3
State,Tamil Nadu,2012-13,Cabbage,2,130.4
State,Telangana,2012-13,Cabbage,0,0
State,Tripura,2012-13,Cabbage,3,76.3
State,Uttarakhand,2012-13,Cabbage,5.8,72.8
State,Uttar Pradesh,2012-13,Cabbage,2.2,73.4
State,West Bengal,2012-13,Cabbage,77.8,2179.2
Union Territory,Union Territory (Total),2012-13,Cabbage,2.2,73.4
Union Territory,Dadra & Nagar Haveli,2012-13,Cabbage,0.2,1.4
Union Territory,Chandigarh,2012-13,Cabbage,0,0
Union Territory,D. & N. Haveli,2012-13,Cabbage,0,0
Union Territory,Daman & Diu,2012-13,Cabbage,0,0
Union Territory,Delhi,2012-13,Cabbage,0,0
Union Territory,Lakshadweep,2012-13,Cabbage,0,0
Union Territory,Puducherry,2012-13,Cabbage,0,0
Total,Total,2012-13,Cabbage,372.4,8534.2
State,Andhra Pradesh,2013-14,Cabbage,3,45.4
State,Arunachal Pradesh,2013-14,Cabbage,0.4,11
State,Assam,2013-14,Cabbage,31.7,656.7
State,Bihar,2013-14,Cabbage,40,735
State,Chhattisgarh,2013-14,Cabbage,18.6,338.6
State,Goa,2013-14,Cabbage,0,0
State,Gujarat,2013-14,Cabbage,30.4,661.4
State,Haryana,2013-14,Cabbage,14.8,241.1
State,Himachal Pradesh,2013-14,Cabbage,4.6,153.8
State,Jammu & Kashmir,2013-14,Cabbage,2.5,73.2
State,Jharkhand,2013-14,Cabbage,30.2,471.3
State,Karnataka,2013-14,Cabbage,10,212.8
State,Kerala,2013-14,Cabbage,0,0
State,Madhya Pradesh,2013-14,Cabbage,19.7,578.3
State,Maharashtra,2013-14,Cabbage,29,640.9
State,Manipur,2013-14,Cabbage,7.1,84.5
State,Meghalaya,2013-14,Cabbage,1.8,39.9
State,Mizoram,2013-14,Cabbage,3.2,43.3
State,Nagaland,2013-14,Cabbage,8.1,162
State,Odisha,2013-14,Cabbage,41,1150.9
State,Punjab,2013-14,Cabbage,5,87.2
State,Rajasthan,2013-14,Cabbage,0.8,4.2
State,Sikkim,2013-14,Cabbage,1.2,7.3
State,Tamil Nadu,2013-14,Cabbage,2.2,143.5
State,Telangana,2013-14,Cabbage,5.6,84.4
State,Tripura,2013-14,Cabbage,3,79.3
State,Uttarakhand,2013-14,Cabbage,6.2,73.2
State,Uttar Pradesh,2013-14,Cabbage,1.9,61.3
State,West Bengal,2013-14,Cabbage,78.2,2197.4
Union Territory,Union Territory (Total),2013-14,Cabbage,0,0
Union Territory,Dadra & Nagar Haveli,2013-14,Cabbage,0.1,1.3
Union Territory,Chandigarh,2013-14,Cabbage,0,0
Union Territory,D. & N. Haveli,2013-14,Cabbage,0,0
Union Territory,Daman & Diu,2013-14,Cabbage,0,0
Union Territory,Delhi,2013-14,Cabbage,0,0
Union Territory,Lakshadweep,2013-14,Cabbage,0,0
Union Territory,Puducherry,2013-14,Cabbage,0,0
Total,Total,2013-14,Cabbage,400.1,9039.2
State,Andhra Pradesh,2014-15,Cabbage,1.8,36.2
State,Arunachal Pradesh,2014-15,Cabbage,0.5,12
State,Assam,2014-15,Cabbage,30.3,873.3
State,Bihar,2014-15,Cabbage,39,695.3
State,Chhattisgarh,2014-15,Cabbage,19.3,356.4
State,Goa,2014-15,Cabbage,0,0
State,Gujarat,2014-15,Cabbage,30.4,661.4
State,Haryana,2014-15,Cabbage,16.7,256.2
State,Himachal Pradesh,2014-15,Cabbage,4.4,149.7
State,Jammu & Kashmir,2014-15,Cabbage,2.5,73.2
State,Jharkhand,2014-15,Cabbage,30.5,476
State,Karnataka,2014-15,Cabbage,10.5,221.3
State,Kerala,2014-15,Cabbage,0.2,6
State,Madhya Pradesh,2014-15,Cabbage,20.5,606
State,Maharashtra,2014-15,Cabbage,8.2,173
State,Manipur,2014-15,Cabbage,7.6,91
State,Meghalaya,2014-15,Cabbage,1.9,40.7
State,Mizoram,2014-15,Cabbage,3.7,48.8
State,Nagaland,2014-15,Cabbage,8.1,162
State,Odisha,2014-15,Cabbage,40.7,1143.9
State,Punjab,2014-15,Cabbage,5.6,97.8
State,Rajasthan,2014-15,Cabbage,1.1,2
State,Sikkim,2014-15,Cabbage,1.2,7.3
State,Tamil Nadu,2014-15,Cabbage,2.3,109.7
State,Telangana,2014-15,Cabbage,3.4,52.8
State,Tripura,2014-15,Cabbage,3.3,86.1
State,Uttarakhand,2014-15,Cabbage,5.8,72
State,Uttar Pradesh,2014-15,Cabbage,2.3,76.9
State,West Bengal,2014-15,Cabbage,78.6,2207.2
Union Territory,Union Territory (Total),2014-15,Cabbage,0,0
Union Territory,Dadra & Nagar Haveli,2014-15,Cabbage,0.1,0.7
Union Territory,Chandigarh,2014-15,Cabbage,0,0
Union Territory,D. & N. Haveli,2014-15,Cabbage,0,0
Union Territory,Daman & Diu,2014-15,Cabbage,0,0.1
Union Territory,Delhi,2014-15,Cabbage,0,0
Union Territory,Lakshadweep,2014-15,Cabbage,0,0
Union Territory,Puducherry,2014-15,Cabbage,0,0
Total,Total,2014-15,Cabbage,380.3,8795
State,Andhra Pradesh,2009-10,C. Flower,3.6,74.9
State,Arunachal Pradesh,2009-10,C. Flower,0,0
State,Assam,2009-10,C. Flower,20.5,351.3
State,Bihar,2009-10,C. Flower,62.2,1080.1
State,Chhattisgarh,2009-10,C. Flower,16.1,268.9
State,Goa,2009-10,C. Flower,0,0
State,Gujarat,2009-10,C. Flower,19.8,356.7
State,Haryana,2009-10,C. Flower,25.7,487.7
State,Himachal Pradesh,2009-10,C. Flower,2.9,56.6
State,Jammu & Kashmir,2009-10,C. Flower,3.8,111.9
State,Jharkhand,2009-10,C. Flower,20.6,329.8
State,Karnataka,2009-10,C. Flower,5,89.5
State,Kerala,2009-10,C. Flower,0,0
State,Madhya Pradesh,2009-10,C. Flower,10.7,171.5
State,Maharashtra,2009-10,C. Flower,10.1,158.6
State,Manipur,2009-10,C. Flower,2.3,22.9
State,Meghalaya,2009-10,C. Flower,0,0
State,Mizoram,2009-10,C. Flower,0,0
State,Nagaland,2009-10,C. Flower,0.1,0.2
State,Odisha,2009-10,C. Flower,46.5,675.4
State,Punjab,2009-10,C. Flower,8.1,191.2
State,Rajasthan,2009-10,C. Flower,0,0
State,Sikkim,2009-10,C. Flower,0.8,3.9
State,Tamil Nadu,2009-10,C. Flower,0.7,12.3
State,Telangana,2009-10,C. Flower,0,0
State,Tripura,2009-10,C. Flower,1.7,27.6
State,Uttarakhand,2009-10,C. Flower,2.6,34.6
State,Uttar Pradesh,2009-10,C. Flower,8.8,180.9
State,West Bengal,2009-10,C. Flower,69.2,1754.1
Union Territory,Union Territory (Total),2009-10,C. Flower,0,0
Union Territory,Dadra & Nagar Haveli,2009-10,C. Flower,0,0
Union Territory,Chandigarh,2009-10,C. Flower,0,0
Union Territory,D. & N. Haveli,2009-10,C. Flower,0,0
Union Territory,Daman & Diu,2009-10,C. Flower,0,0
Union Territory,Delhi,2009-10,C. Flower,6.2,128.4
Union Territory,Lakshadweep,2009-10,C. Flower,0,0
Union Territory,Puducherry,2009-10,C. Flower,0,0
Total,Total,2009-10,C. Flower,348,6569
State,Andhra Pradesh,2010-2011,C. Flower,0,0
State,Arunachal Pradesh,2010-2011,C. Flower,0,0
State,Assam,2010-2011,C. Flower,0,0
State,Bihar,2010-2011,C. Flower,0,0
State,Chhattisgarh,2010-2011,C. Flower,18.4,306
State,Goa,2010-2011,C. Flower,0,0
State,Gujarat,2010-2011,C. Flower,21.1,387.4
State,Haryana,2010-2011,C. Flower,30.3,531.9
State,Himachal Pradesh,2010-2011,C. Flower,3,60.7
